# SAT(MJD)        RM     RMerr_minus RMerr_plus
59354.1458121741 -587.20 2.72 2.83
59349.3140836083 -594.38 2.02 2.29
59346.3512754860 -593.27 0.35 0.14
59337.2705971269 -705.99 2.47 2.39
59337.2232065246 -758.68 0.33 0.34
59352.2513631850 -592.95 1.13 1.10
59334.3777713577 -808.21 1.64 1.84
59351.2185077245 -598.47 1.70 1.76
59348.2075245224 -595.70 0.61 0.46
59357.1385237538 -596.99 0.80 0.86
59349.1827069844 -596.81 0.50 0.53
59348.2831610891 -588.76 0.72 0.72
59353.2454017107 -592.53 0.20 0.22
59345.3623374477 -589.30 0.22 0.21
59360.1434177643 -602.57 1.65 1.66
59350.1675796662 -593.64 0.92 0.18
59345.3663322010 -586.14 0.80 0.82
59334.3784446423 -804.07 0.40 0.43
59347.2501307444 -592.56 0.63 0.86
59346.3541491138 -590.32 0.57 0.57
59350.2616487793 -592.26 1.01 1.02
59348.2364571937 -594.56 0.41 0.42
59350.1676767395 -595.48 0.53 0.53
59353.2494338206 -592.00 0.58 0.57
59357.1438165277 -586.82 1.89 5.52
59360.1490007337 -597.45 0.50 0.62
59351.1717979067 -598.88 1.66 1.54
59354.1482451522 -592.91 2.10 1.64
59350.1723352802 -607.66 0.55 0.75
59352.2687094230 -594.18 0.53 0.55
59345.3683983826 -588.82 0.43 0.45
59347.2534914927 -587.31 0.51 0.49
59350.2626259788 -589.48 1.79 1.78
59348.2867494787 -598.81 1.39 1.33
59351.2329293542 -597.84 0.92 1.17
59344.2814696262 -583.66 1.29 1.23
59352.3229854606 -596.51 1.45 1.45
59357.1438169967 -604.87 1.11 1.08
59354.1537640128 -592.53 0.23 0.24
59346.2854204409 -594.82 2.67 1.74
59348.2364576801 -592.50 0.31 0.30
59352.2695905021 -597.37 0.53 0.52
59347.2621728906 -596.20 0.20 0.20
59334.3784451159 -801.06 1.01 1.09
59360.1641333193 -595.96 2.23 2.89
59353.2534500781 -592.09 0.36 0.36
59354.1556408032 -596.76 1.76 1.54
59344.2883547359 -577.41 0.88 0.17
59350.2645273742 -587.17 0.83 0.64
59352.3255167184 -599.73 3.70 2.33
59344.3167561293 -597.36 0.79 0.74
59351.1777244292 -599.82 0.39 0.41
59350.2681992904 -590.67 0.76 0.79
59353.2811383259 -593.54 1.99 1.75
59348.2416508390 -591.08 1.85 1.77
59348.2908025718 -592.31 1.02 1.02
59352.2695908429 -599.48 0.59 0.58
59350.1874094706 -595.15 2.03 1.13
59351.1807223546 -607.20 2.14 2.64
59352.3261399899 -594.77 0.30 0.31
59346.3655432310 -584.07 1.64 1.12
59350.2689864063 -592.73 0.21 0.22
59353.2815380907 -593.19 0.71 0.70
59344.3198250243 -596.30 0.28 0.27
59351.2340544023 -598.62 0.69 0.71
59348.2420907093 -596.97 0.20 0.20
59350.2207225970 -596.64 0.37 0.36
59357.1734411545 -586.34 1.73 1.48
59354.1616949453 -589.03 0.93 1.05
59352.2820187798 -595.27 0.54 0.44
59349.2251119822 -597.08 0.82 1.18
59360.1722047375 -601.17 0.40 0.39
59357.1743748647 -594.67 1.57 1.62
59348.2427467248 -596.10 2.35 2.48
59347.2645226845 -587.88 0.72 0.70
59350.2689873882 -592.92 0.14 0.38
59352.3267220033 -597.87 0.66 2.05
59348.3314267877 -599.75 1.83 1.80
59353.2857006180 -598.46 0.76 0.70
59354.1834294753 -591.71 0.22 0.22
59346.3784165285 -590.48 1.88 1.90
59357.1789096466 -594.49 0.56 0.48
59351.2633700180 -601.07 1.58 1.57
59350.2244849277 -594.31 0.72 0.72
59351.1994906881 -597.91 0.09 2.40
59352.2828525409 -593.69 1.33 1.26
59353.2892488722 -587.06 2.15 1.82
59348.3385795466 -601.70 2.41 1.21
59357.1837283569 -600.18 0.62 0.56
59352.2841876145 -595.83 0.38 0.37
59352.3463668087 -595.32 1.39 1.46
59349.2510617617 -600.01 0.11 0.08
59360.1736411555 -591.56 5.88 2.79
59351.2634278199 -598.70 1.16 1.25
59357.1886551319 -590.09 0.26 0.26
59352.2876158229 -601.69 0.50 0.52
59360.1784379937 -595.55 1.53 1.59
59349.2558416663 -599.35 1.21 1.27
59352.3464486123 -594.61 1.15 1.27
59360.1363945500 -601.26 0.32 0.36
59351.2634280053 -601.80 0.82 0.89
59352.2878772961 -596.27 0.76 0.76
59352.3470010885 -602.67 1.76 1.75
59349.2580237492 -595.43 0.51 0.50
59350.2741196293 -590.69 0.60 0.62
59360.1787479228 -584.66 3.04 2.70
59350.3131513853 -592.00 0.33 0.35
59351.2645278637 -596.17 0.71 0.69
