# SAT(MJD)        RM     RMerr_minus RMerr_plus
59313.3324375208 -610.95 2.31 1.87
59313.3643115568 -603.93 0.15 0.15
59315.3221450954 -693.36 0.86 0.86
59310.4017390820 -585.79 1.24 1.32
59313.3765106765 -600.52 1.66 1.59
59315.3546971660 -659.95 1.59 1.48
59315.3696924105 -661.15 0.56 0.55
59311.3606221210 -565.21 0.39 0.38
59313.3483363853 -630.29 0.09 9.66
59314.3923005036 -584.09 0.79 0.78
59314.3399146583 -620.15 0.85 0.91
59311.3933806616 -590.41 0.24 0.25
59315.3981884376 -682.45 0.32 0.32
59312.3190453060 -618.16 0.17 0.17
59316.3324085385 -736.95 0.49 0.44
59313.3655810396 -612.23 0.43 0.44
59313.3797164743 -611.59 0.31 0.30
59307.4043488988 -640.30 1.54 3.07
59313.3350781903 -587.21 0.64 0.62
59314.3930786006 -614.22 1.41 1.48
59314.3259085317 -601.85 0.39 0.38
59316.3659246763 -695.45 1.90 1.88
59318.3621883475 -613.70 1.56 1.63
59312.3228468663 -590.43 0.46 0.46
59314.3421316186 -605.94 0.84 0.85
59316.3747805359 -739.31 0.52 0.48
59310.4044853737 -606.35 1.06 1.02
59310.3439776948 -586.75 0.43 0.40
59311.3652354819 -590.93 0.32 0.35
59319.3413219847 -454.57 0.50 0.50
59316.3478003371 -712.33 0.39 0.39
59320.2341202395 -512.28 0.25 0.24
59310.4056699508 -617.53 3.03 2.75
59319.3208813519 -423.30 0.48 0.49
59313.3486964158 -592.76 0.26 0.27
59309.4088117832 -606.07 0.72 0.69
59319.3421689845 -477.40 1.87 1.88
59318.3672542280 -474.26 0.55 1.10
59309.3579058223 -603.71 0.48 0.51
59310.4057086377 -604.83 0.85 0.76
59319.3243885969 -429.89 1.27 1.26
59314.3742083255 -613.29 1.04 1.07
59314.3424458043 -603.09 0.97 0.95
59321.2567751863 -439.86 1.47 1.42
59316.3759825468 -659.93 0.73 0.13
59311.4019758475 -592.05 0.50 0.47
59307.4119505268 -661.75 2.63 2.56
59322.3120438569 -455.19 2.10 2.19
59319.3274115951 -487.35 1.18 1.23
59322.3421022536 -435.50 1.89 1.96
59319.3703708718 -456.71 1.20 1.15
59311.4034039468 -564.65 1.54 1.59
59314.3465615484 -610.18 0.40 0.41
59319.3306861854 -497.78 2.10 1.95
59316.3478011811 -709.04 0.35 0.34
59322.3449158325 -440.15 1.09 1.12
59309.3747527062 -629.03 0.74 0.79
59316.3406759962 -730.82 0.58 0.55
59320.3024772837 -524.45 1.15 1.38
59313.3871821243 -585.85 0.19 1.62
